city_clean,total,online_count,online_pct
Alappuzha,226,0,0.0
Amravati,347,0,0.0
Darjeeling,132,0,0.0
Gangtok,137,0,0.0
Jamnagar,288,0,0.0
Junagadh,390,0,0.0
Kolhapur,356,0,0.0
Palakkad,139,0,0.0
Srinagar,128,0,0.0
Manali,280,7,2.5
Goa,3572,562,15.7
Nainital,318,54,17.0
Mussoorie,173,32,18.5
Shimla,224,46,20.5
Ooty,272,68,25.0
Rishikesh,274,76,27.7
Dharamshala,273,83,30.4
Pushkar,176,55,31.3
Siliguri,690,240,34.8
Puducherry,848,310,36.6
Trivandrum,938,361,38.5
Manipal,492,203,41.3
Kochi,2685,1121,41.8
Guwahati,1660,700,42.2
Coimbatore,2549,1105,43.4
Salem,441,196,44.4
Vellore,339,151,44.5
Trichy,624,285,45.7
Thrissur,464,215,46.3
Udaipur,1416,661,46.7
Madurai,965,453,46.9
Pune,15430,7254,47.0
Ranchi,1273,599,47.1
Bengaluru,20283,9568,47.2
Mumbai,25692,12240,47.6
Lucknow,3822,1834,48.0
Bhubaneswar,1885,907,48.1
Cuttack,331,160,48.3
Chennai,11917,5966,50.1
Mangalore,898,451,50.2
Mysuru,915,459,50.2
Ahmedabad,6432,3269,50.8
Delhi NCR,38699,19653,50.8
Kolkata,9571,4933,51.5
Patna,1337,690,51.6
Gorakhpur,620,322,51.9
Vijayawada,705,366,51.9
Nashik,1581,822,52.0
Hyderabad,12393,6487,52.3
Amritsar,1188,626,52.7
Ajmer,575,306,53.2
Varanasi,1030,551,53.5
Allahabad,877,472,53.8
Haridwar,450,242,53.8
Dehradun,1493,807,54.1
Ludhiana,2304,1252,54.3
Jaipur,5367,2930,54.6
Jodhpur,1219,671,55.0
Aurangabad,1336,741,55.5
Meerut,902,501,55.5
Visakhapatnam,1339,746,55.7
Jamshedpur,798,450,56.4
Kanpur,1734,983,56.7
Raipur,1540,877,56.9
Rajkot,860,494,57.4
Jalandhar,1046,603,57.6
Vadodara,2639,1525,57.8
Indore,3085,1789,58.0
Jammu,757,444,58.7
Surat,2648,1563,59.0
Guntur,355,211,59.4
Agra,1837,1110,60.4
Bhopal,2131,1289,60.5
Chandigarh,4278,2597,60.7
Nagpur,2954,1832,62.0
Kota,959,599,62.5
Gwalior,944,627,66.4
Jabalpur,805,536,66.6
Patiala,755,549,72.7
Jhansi,580,423,72.9
